symbol,category,excess_return,strategy_return,buy_hold_return,win_rate,total_trades,sharpe,volatility_score,years,max_drawdown
WULF,Crypto Mining,13041.305545163037,14522.383516720543,1481.0779715575063,77.63975155279503,161,0.6134599933751552,85.55463146429962,31.463381245722108,-54.34685935868091
NOK,Meme Potential,3355.2851493148255,4005.615256661372,650.3301073465466,56.375838926174495,149,0.2563981586381728,37.09801263628616,31.21971252566735,-91.2961036845462
WKHS,SPAC Volatility,1132.9883328401838,1033.0332395072573,-99.95509333292644,53.37423312883436,163,0.2635519790034478,100.0,15.307323750855579,-93.07860615190748
EQT,Energy Volatility,1038.2962432249333,19691.91337936903,18653.617136144097,62.67281105990783,217,0.3397472781191332,33.95532559689805,45.51403148528405,-83.97888873745529
CLSK,Crypto Mining,675.5685459060237,622.5018789850438,-53.06666692097981,51.28205128205128,39,0.16408845924727794,100.0,8.83504449007529,-83.75972407510893
NAIL,Leveraged Cycles,469.8586068480612,589.4093684712957,119.55076162323448,75.92592592592592,54,0.387480499960289,67.79299139994463,10.094455852156058,-63.733684248734214
TNA,Leveraged Cycles,346.9856701212003,1159.0375039375751,812.0518338163748,64.93506493506493,77,0.22744689803887533,52.767158566028385,16.826830937713893,-80.5914685576649
VKTX,Biotech Rockets,194.00321040945482,577.8967661955633,383.89355578610844,63.934426229508205,61,0.28921743576164904,78.9670464599459,10.401095140314853,-61.14361807011417
SM,Energy Volatility,190.93312292084238,831.3642709307384,640.431148009896,57.23270440251572,159,0.09009783160491291,49.09865198790315,32.761122518822724,-97.73890744325288
SAVA,Biotech Rockets,169.6088323842257,73.88367287214209,-95.72515951208361,64.74820143884892,139,0.003865706004473006,100.0,25.190965092402465,-90.03685916444692
RXRX,Biotech Rockets,159.02323090117608,71.93409875552356,-87.08913214565253,50.0,24,0.21725292290046935,79.47460638024718,4.435318275154004,-47.29413686432532
NTLA,Biotech Rockets,126.17823586731562,73.80266986593386,-52.375566001381756,66.26506024096386,83,0.2027678562411879,64.27094851981145,9.371663244353183,-34.77053174649545
KTTA,Biotech Rockets,119.25285523372202,20.28856948963398,-98.96428574408803,42.10526315789473,19,0.032439045420038295,100.0,4.0219028062970565,-77.7125706017496
EDIT,Biotech Rockets,79.35861934860408,-15.129173043912047,-94.48779239251613,63.29113924050633,79,-0.2528209720825906,63.28487678738654,9.631759069130732,-34.11261697914206
BFRI,Crypto Mining,73.50687642781511,-25.845359986499773,-99.35223641431489,42.10526315789473,19,-0.1590125015931606,100.0,3.890485968514716,-59.24280700606168
BBBY,Meme Potential,73.41163496262647,53.687499399335124,-19.724135563291345,61.904761904761905,126,-0.004932159197923798,63.20344816487664,23.315537303216974,-72.31708922891004
BEAM,Biotech Rockets,68.26914787110074,118.76977319023551,50.50062531913477,48.0,25,0.17585162408945895,59.606913749570005,5.623545516769336,-78.50239613130869
RIVN,SPAC Volatility,67.8596289846298,-5.539845082703076,-73.39947406733287,55.00000000000001,20,-0.10822169187285441,56.17446958068344,3.8603696098562628,-48.53255558926289
DVAX,Biotech Rockets,46.492296391901945,-37.03078047248732,-83.52307686438927,36.633663366336634,101,-0.03307047270396417,97.07948929365314,21.590691307323752,-93.51074286944674
HIBL,Leveraged Cycles,41.55015255771343,75.57390486110755,34.02375230339412,50.0,28,0.09350602578661234,67.85799468157084,5.861738535249829,-82.61740573127776
DPST,Leveraged Cycles,34.02566995782122,-51.90976569328991,-85.93543565111113,48.07692307692308,52,-0.23387243669617405,76.2001547508518,10.091718001368925,-72.2472754621773
LCID,SPAC Volatility,22.44815932057979,-64.75428265993335,-87.20244198051314,51.515151515151516,33,-0.7348353460528988,64.89991718461769,5.0102669404517455,-76.84201619457228
HYLN,SPAC Volatility,17.50839677241946,-63.81140056647108,-81.31979733889054,51.724137931034484,29,-0.21471779023545576,70.81208467569684,5.71937029431896,-98.21614956627673
CRON,Penny Explosives,15.928593388614694,-39.125557754305454,-55.05415114292015,57.89473684210527,38,-0.13938213126921967,58.23741491812476,7.567419575633128,-86.82906423658385
PLUG,Penny Explosives,8.196074403727536,-91.47746439209229,-99.67353879581982,48.4375,128,-0.12925892018359514,83.75200228659148,25.89185489390828,-99.87632650227718
TLRY,Penny Explosives,8.082664130138495,-12.899651573935033,-20.982315704073528,53.06122448979592,49,-0.04004696613219158,69.82628512242151,10.513347022587268,-97.94462476368612
SNDL,Penny Explosives,4.9761918021883105,-91.32336790908113,-96.29955971126944,44.827586206896555,29,-0.32464450706960846,94.93160303278141,6.143737166324435,-96.59192613438492
AMC,Meme Potential,3.5640771506624986,-95.01222279140391,-98.57629994206641,44.44444444444444,54,-0.20416974777669467,100.0,11.748117727583846,-99.51163939662646
SPCE,SPAC Volatility,3.4287217311005094,-94.65131875570899,-98.0800404868095,47.5,40,-0.41957765602455016,80.53243597658305,7.9808350444900755,-99.50462261426372
FCEL,Penny Explosives,0.9147219304982173,-98.98638405006541,-99.90110598056363,46.75324675324675,154,-0.1860668541638673,89.12083574895085,33.242984257357975,-99.97056851827051
RVMD,Biotech Rockets,-12.135322561847005,171.65354172090278,183.78886428274978,62.06896551724138,29,0.42226176792481335,51.69429557772077,5.604380561259411,-64.51083791610274
WEBL,Leveraged Cycles,-12.808057060437893,-26.59261084389499,-13.784553783457099,67.44186046511628,43,-0.19133330300103038,67.52279120059356,5.861738535249829,-76.22345356277162
CRSP,Biotech Rockets,-46.414168372273025,114.0451245908487,160.45929296312173,57.49999999999999,40,0.17781346311242743,48.90895414312089,8.922655715263518,-67.03222656634782
ZS,AI Revolution,-54.6984033338008,820.3717022377516,875.0701055715524,61.111111111111114,36,0.6175114638419518,40.837307386880255,7.520876112251882,-67.03958181564839
RIOT,Crypto Mining,-120.13660122714288,256.74911974239325,376.8857209695361,68.29268292682927,82,0.4052200127461393,85.98761627012139,9.478439425051334,-51.26681952052983
CRWD,AI Revolution,-122.35668069848697,299.6250912263844,421.9817719248714,62.96296296296296,27,0.4495600037892031,41.83090084268932,6.28062970568104,-68.9021701374171
NET,AI Revolution,-158.40481910818528,877.5398238352842,1035.9446429434695,59.25925925925925,27,0.713403307996891,47.722174913484004,6.028747433264887,-81.22244800658372
DFEN,Leveraged Cycles,-165.13010471338936,-23.198776868780623,141.93132784460875,64.70588235294117,34,-0.10184238041365912,67.66862771790606,8.386036960985626,-83.18216531276083
MTDR,Energy Volatility,-168.6430290885237,163.34071700882214,331.98374609734583,70.6896551724138,116,0.3203047847075485,46.057268728923475,13.634496919917865,-30.46669939964956
HUT,Crypto Mining,-204.55180224911174,-25.256939240144682,179.29486300896707,56.25,32,-0.1553484860081597,88.36691191678659,7.542778918548939,-58.95901556851082
FANG,Energy Volatility,-533.0480304265208,449.75664537774014,982.8046758042609,52.54237288135594,59,0.2734302496990086,35.29051147325042,12.930869267624914,-87.51384699592062
DVN,Energy Volatility,-1171.9002796032419,99.55774504418682,1271.4580246474286,64.90384615384616,208,-0.008093951799249762,36.83813135172746,40.167008898015055,-91.93101236399227
GME,Meme Potential,-1361.083774609901,-65.28106006615448,1295.8027145437466,58.77192982456141,114,-0.16520337159144222,66.31096896026992,23.603011635865844,-94.15030355641517
SMCI,AI Revolution,-3071.7812306740047,-34.69221167349976,3037.089019000505,47.12643678160919,87,-0.17586664030294288,59.46536309915908,18.483230663928815,-61.69061402127708
NVDA,AI Revolution,-471016.06046841614,2799.6530024361537,473815.7134708523,69.23076923076923,117,0.45156263285554576,41.55615172999296,26.65845311430527,-55.133052226795556
