Symbol,Profit_Target,Total_Return_%,Num_Trades,Win_Rate_%,Avg_Trade_%,Profit_Exits,Profit_Exit_%
AMD,1.0,27.673642746786815,115,58.26086956521739,0.24064037171118968,42,36.52173913043478
AMD,2.0,27.148364965373567,85,58.82352941176471,0.3193925290043949,14,16.470588235294116
AMD,5.0,25.623429937646343,78,57.692307692307686,0.32850551202110695,1,1.282051282051282
AMD,10.0,25.623429937646343,78,57.692307692307686,0.32850551202110695,1,1.282051282051282
SQQQ,1.0,15.974611638790163,102,58.82352941176471,0.156613839595982,47,46.07843137254902
SQQQ,2.0,2.9179908912217294,81,56.79012345679012,0.03602457890397197,13,16.049382716049383
SQQQ,5.0,18.633338583201663,78,58.97435897435898,0.23888895619489312,1,1.282051282051282
SQQQ,10.0,18.633338583201663,78,58.97435897435898,0.23888895619489312,0,0.0
TSLA,1.0,10.698517284365334,105,60.0,0.10189064080347937,41,39.04761904761905
TSLA,2.0,13.248694811290024,82,59.756097560975604,0.16156944891817102,10,12.195121951219512
TSLA,5.0,13.845686324089604,82,60.97560975609756,0.16884983322060493,0,0.0
TSLA,10.0,13.845686324089604,82,60.97560975609756,0.16884983322060493,0,0.0
VIXY,1.0,10.558197429175312,107,59.813084112149525,0.09867474232874124,44,41.1214953271028
VIXY,2.0,13.034833453592627,84,60.71428571428571,0.15517658873324555,15,17.857142857142858
VIXY,5.0,16.13409829801569,77,63.63636363636363,0.2095337441300739,2,2.5974025974025974
VIXY,10.0,16.00950828044481,76,63.1578947368421,0.21065142474269485,0,0.0
NVDA,1.0,9.814455784693518,77,62.33766233766234,0.12746046473627945,25,32.467532467532465
NVDA,2.0,11.98082005755141,69,62.31884057971014,0.17363507329784653,6,8.695652173913043
NVDA,5.0,15.750174545498878,66,65.15151515151516,0.2386390082651345,0,0.0
NVDA,10.0,14.249535519088221,66,65.15151515151516,0.2159020533195185,0,0.0
VXX,1.0,6.7327491694485975,105,59.04761904761905,0.06412142066141521,40,38.095238095238095
VXX,2.0,14.248491140720057,82,60.97560975609756,0.17376208708195193,14,17.073170731707318
VXX,5.0,16.294412415911783,75,64.0,0.2172588322121571,2,2.666666666666667
VXX,10.0,16.04776065513746,74,63.51351351351351,0.21686163047483054,0,0.0
XLI,1.0,2.2763215821062213,10,70.0,0.22763215821062213,0,0.0
XLI,2.0,2.2763215821062213,10,70.0,0.22763215821062213,0,0.0
XLI,5.0,2.2763215821062213,10,70.0,0.22763215821062213,0,0.0
XLI,10.0,2.2763215821062213,10,70.0,0.22763215821062213,0,0.0
SPY,1.0,1.8497262458376684,7,57.14285714285714,0.26424660654823834,2,28.57142857142857
SPY,2.0,1.8497262458376684,7,57.14285714285714,0.26424660654823834,0,0.0
SPY,5.0,1.8497262458376684,7,57.14285714285714,0.26424660654823834,0,0.0
SPY,10.0,1.8497262458376684,7,57.14285714285714,0.26424660654823834,0,0.0
XLE,1.0,1.1318786725572108,24,50.0,0.04716161135655045,1,4.166666666666666
XLE,2.0,1.1318786725572108,24,50.0,0.04716161135655045,0,0.0
XLE,5.0,1.1318786725572108,24,50.0,0.04716161135655045,0,0.0
XLE,10.0,1.1318786725572108,24,50.0,0.04716161135655045,0,0.0
XLF,1.0,1.114268721719625,11,45.45454545454545,0.1012971565199659,0,0.0
XLF,2.0,1.114268721719625,11,45.45454545454545,0.1012971565199659,0,0.0
XLF,5.0,1.114268721719625,11,45.45454545454545,0.1012971565199659,0,0.0
XLF,10.0,1.114268721719625,11,45.45454545454545,0.1012971565199659,0,0.0
TLT,1.0,0.9525661104449152,3,66.66666666666666,0.31752203681497176,0,0.0
TLT,2.0,0.9525661104449152,3,66.66666666666666,0.31752203681497176,0,0.0
TLT,5.0,0.9525661104449152,3,66.66666666666666,0.31752203681497176,0,0.0
TLT,10.0,0.9525661104449152,3,66.66666666666666,0.31752203681497176,0,0.0
UVXY,1.0,0.5302003184552824,139,60.431654676258994,0.00381439078025383,69,49.64028776978417
UVXY,2.0,19.876778136826612,112,61.60714285714286,0.17747123336452333,33,29.464285714285715
UVXY,5.0,2.381702448819955,91,60.43956043956044,0.02617255438263687,5,5.4945054945054945
UVXY,10.0,20.596713817561838,87,60.91954022988506,0.2367438369834694,2,2.2988505747126435
TQQQ,1.0,-0.9815453187408361,96,53.125,-0.010224430403550375,40,41.66666666666667
TQQQ,2.0,-1.4797800921236575,78,52.56410256410257,-0.018971539642610995,14,17.94871794871795
TQQQ,5.0,10.923668662022983,75,54.666666666666664,0.14564891549363979,1,1.3333333333333335
TQQQ,10.0,10.923668662022983,75,54.666666666666664,0.14564891549363979,0,0.0
GLD,1.0,-1.1866636536973707,29,44.827586206896555,-0.040919436334392094,4,13.793103448275861
GLD,2.0,-3.258216824074967,28,42.857142857142854,-0.11636488657410596,0,0.0
GLD,5.0,-3.258216824074967,28,42.857142857142854,-0.11636488657410596,0,0.0
GLD,10.0,-3.258216824074967,28,42.857142857142854,-0.11636488657410596,0,0.0
SLV,1.0,-13.312663578444681,61,49.18032786885246,-0.21824038653188002,15,24.59016393442623
SLV,2.0,-5.538542715224328,55,52.72727272727272,-0.10070077664044233,1,1.8181818181818181
SLV,5.0,-10.221248171915473,55,52.72727272727272,-0.1858408758530086,0,0.0
SLV,10.0,-10.221248171915473,55,52.72727272727272,-0.1858408758530086,0,0.0
SPXL,1.0,-7.962801867221134,74,52.702702702702695,-0.10760543063812343,25,33.78378378378378
SPXL,2.0,-0.408160723593179,62,56.451612903225815,-0.006583237477309339,4,6.451612903225806
SPXL,5.0,6.079705072208195,62,56.451612903225815,0.09805975922916443,0,0.0
SPXL,10.0,6.079705072208195,62,56.451612903225815,0.09805975922916443,0,0.0
SPXS,1.0,-5.219343081594231,80,53.75,-0.06524178851992789,24,30.0
SPXS,2.0,-3.173358658325986,65,55.38461538461539,-0.0488209024357844,4,6.153846153846154
SPXS,5.0,0.981738461163535,65,56.92307692307692,0.015103668633285154,0,0.0
SPXS,10.0,0.981738461163535,65,56.92307692307692,0.015103668633285154,0,0.0
